"old_table","new_table","status_or_notes"
"public.digipal_annotation","public.annotations_graph","Migrated; primary annotation/graph model."
"public.digipal_graphcomponent","public.annotations_graphcomponent","Migrated; IDs preserved; graph_id derived via annotations_graph mapping."
"public.digipal_graphcomponent_features","public.annotations_graphcomponent_features","Migrated; bridge table; old/new pair-set comparison showed 673 old pairs not present in new (i.e., relationships not present after migration)."
"public.digipal_aspect","public.symbols_structure_position","Migrated via INSERT/backfill; 17→17; IDs+names preserved 1:1."
"public.digipal_graph_aspects","public.annotations_graph_positions","Migrated via INSERT/backfill; 1491→1485; 6 old rows unmappable; pair-set preserved for mappable rows; no FK orphans."

"public.digipal_character","public.symbols_structure_character","Migrated; IDs preserved."
"public.digipal_allograph","public.symbols_structure_allograph","Migrated; IDs preserved."
"public.digipal_component","public.symbols_structure_component","Migrated; IDs preserved."
"public.digipal_component_features","public.symbols_structure_component_features","Migrated; bridge table."
"public.digipal_feature","public.symbols_structure_feature","Migrated; IDs preserved."
"public.digipal_allographcomponent","public.symbols_structure_allographcomponent","Migrated; 81→80 due to dedup of 1 duplicate (allograph_id,component_id) relationship."
"public.digipal_allographcomponent_features","public.symbols_structure_allographcomponentfeature","Migrated; 69→68; 1 old pair missing caused by missing allographcomponent row after dedup (id=46)."

"public.digipal_hand","public.scribes_hand","Migrated; IDs preserved."
"public.digipal_hand_images","public.scribes_hand_item_part_images","Migrated; IDs preserved; bridge semantics verified."
"public.digipal_scribe","public.scribes_scribe","Migrated; new contains extra sentinel row id=-1."
"public.digipal_script","public.scribes_script","0→0 (no data); schema pairing documented."

"public.digipal_image","public.manuscripts_itemimage","Migrated; IDs preserved."
"public.digipal_cataloguenumber","public.manuscripts_cataloguenumber","Migrated; IDs preserved; FK integrity checked."
"public.digipal_currentitem","public.manuscripts_currentitem","Migrated; IDs preserved."
"public.digipal_historicalitem","public.manuscripts_historicalitem","Migrated; IDs preserved."
"public.digipal_description","public.manuscripts_historicalitemdescription","Migrated; FK integrity checked."
"public.digipal_format","public.manuscripts_itemformat","Migrated; IDs preserved."
"public.digipal_itempart","public.manuscripts_itempart","Migrated; new contains extra sentinel row id=-1."
"public.digipal_text_textcontentxml","public.manuscripts_imagetext","Migrated; not a strict ID-preserve migration; status/type bucket checks validated; language links absent in old."
"public.digipal_repository","public.manuscripts_repository","Migrated; IDs preserved."
"public.digipal_source","public.manuscripts_bibliographicsource","Migrated; 40→40; IDs preserved; label nullable old → NOT NULL new handled in migration."
"public.digipal_date","public.common_date","Date dimension present/used in new; derived/constructed from legacy Digipal date structures (used e.g. by scribes_scribe.period_id)."

"public.blog_blogpost","public.publications_publication","Migrated; 61→61; join-by-id validated; status mapping int→varchar validated; preview and timestamp derivations validated."
"public.digipal_carouselitem","public.publications_carouselitem","Migrated; 8→8; ordering+url preserved; image path normalization and title cleaning evidenced."

"public.blog_blogcategory","public.publications_tagulous_publication_keywords","Backfilled via INSERT; 3→3; Tagulous count verified."
"public.blog_blogpost_categories","public.publications_publication_keywords","Backfilled via INSERT; 67→67; pair-set identical; no FK orphans."
"public.blog_blogpost_related_posts","public.publications_publication_similar_posts","0→0 (no data); documented."

"auth_group","auth_group","Framework table; compared; rows preserved; names match."
"auth_group_permissions","auth_group_permissions","Framework table; new empty (0); treated as not migrated / environment-managed."
"auth_permission","auth_permission","Framework table; semantic differences reflect different installed apps/content types; old contains legacy permissions; new includes view_* permissions etc."
"auth_user","auth_user","Framework table; not a 1:1 identity migration; new users differ; treated as environment/runtime-managed."
"auth_user_groups","auth_user_groups","Framework table; new empty (0); not migrated."
"auth_user_user_permissions","auth_user_user_permissions","Framework table; new empty (0); not migrated."
"django_admin_log","django_admin_log","Framework table; new empty (0); not migrated."
"django_content_type","django_content_type","Framework table; not migrated 1:1; reflects installed apps/models in new environment."
"django_migrations","django_migrations","Framework table; differs by environment/migration history; not a business-data migration."
"django_session","django_session","Framework table; not migrated; sessions are runtime/environment data."

"django_comment_flags","","Old-only legacy framework table; documented; 0 rows."
"django_comments","","Old-only legacy framework table; documented; 0 rows; potential successor is publications_comment (new) but currently empty."
"django_redirect","","Old-only legacy framework table; documented; 0 rows."
"django_site","","Old-only legacy framework table; documented; 1 row."

"","authtoken_token","New-only framework table; documented; runtime-managed token auth."

"","publications_event","New table exists but currently unused/empty (0 rows); documented."
"","publications_comment","New table exists but currently unused/empty (0 rows); documented."
