"from_key","to_key"
"annotations_graph.allograph_id","symbols_structure_allograph.id"
"annotations_graph_positions.position_id","symbols_structure_position.id"
"annotations_graphcomponent.component_id","symbols_structure_component.id"
"annotations_graphcomponent_features.feature_id","symbols_structure_feature.id"
"symbols_structure_allograph.character_id","symbols_structure_character.id"
"symbols_structure_allographcomponent.allograph_id","symbols_structure_allograph.id"
"symbols_structure_allographcomponent.component_id","symbols_structure_component.id"
"symbols_structure_allographcomponentfeature.allograph_component_id","symbols_structure_allographcomponent.id"
"symbols_structure_allographcomponentfeature.feature_id","symbols_structure_feature.id"
"symbols_structure_component_features.component_id","symbols_structure_component.id"
"symbols_structure_component_features.feature_id","symbols_structure_feature.id"
