"schema_name","table_name","total_bytes","table_bytes","est_rows","family_prefix"
"public","annotations_graph","26558464","23265280","24584","annotations"
"public","annotations_graph_positions","32768","0","0","annotations"
"public","annotations_graphcomponent","1343488","294912","2461","annotations"
"public","annotations_graphcomponent_features","1163264","147456","2694","annotations"
"public","auth_group","57344","8192","2","auth"
"public","auth_group_permissions","32768","0","0","auth"
"public","auth_permission","90112","16384","148","auth"
"public","auth_user","65536","8192","14","auth"
"public","auth_user_groups","32768","0","0","auth"
"public","auth_user_user_permissions","32768","0","0","auth"
"public","authtoken_token","57344","8192","1","authtoken"
"public","common_date","155648","81920","594","common"
"public","django_admin_log","32768","0","0","django"
"public","django_content_type","40960","8192","37","django"
"public","django_migrations","32768","8192","60","django"
"public","django_session","65536","8192","5","django"
"public","manuscripts_bibliographicsource","24576","8192","40","manuscripts"
"public","manuscripts_cataloguenumber","294912","131072","1414","manuscripts"
"public","manuscripts_currentitem","131072","49152","718","manuscripts"
"public","manuscripts_historicalitem","303104","106496","713","manuscripts"
"public","manuscripts_historicalitemdescription","786432","655360","703","manuscripts"
"public","manuscripts_imagetext","1671168","1335296","899","manuscripts"
"public","manuscripts_itemformat","24576","8192","20","manuscripts"
"public","manuscripts_itemimage","1097728","786432","3277","manuscripts"
"public","manuscripts_itempart","172032","49152","713","manuscripts"
"public","manuscripts_repository","24576","8192","9","manuscripts"
"public","publications_carouselitem","40960","8192","8","publications"
"public","publications_comment","24576","0","0","publications"
"public","publications_event","32768","0","0","publications"
"public","publications_publication","385024","65536","61","publications"
"public","publications_publication_keywords","32768","0","0","publications"
"public","publications_publication_similar_posts","32768","0","0","publications"
"public","publications_tagulous_publication_keywords","49152","0","0","publications"
"public","scribes_hand","204800","57344","696","scribes"
"public","scribes_hand_item_part_images","204800","40960","715","scribes"
"public","scribes_scribe","40960","8192","3","scribes"
"public","scribes_script","8192","0","0","scribes"
"public","symbols_structure_allograph","40960","8192","103","symbols"
"public","symbols_structure_allographcomponent","73728","8192","80","symbols"
"public","symbols_structure_allographcomponentfeature","73728","8192","68","symbols"
"public","symbols_structure_character","24576","8192","103","symbols"
"public","symbols_structure_component","57344","8192","15","symbols"
"public","symbols_structure_component_features","73728","8192","76","symbols"
"public","symbols_structure_feature","57344","8192","54","symbols"
"public","symbols_structure_position","24576","0","0","symbols"
