"schema_name","table_name","est_rows"
"public","digipal_annotation","24584"
"public","digipal_graph","20553"
"public","poms_charter_info","15245"
"public","digipal_requestlog","12535"
"public","django_admin_log","7566"
"public","reversion_version","4057"
"public","digipal_text_textannotation","4013"
"public","reversion_revision","3887"
"public","digipal_graphcomponent_features","3367"
"public","digipal_image","3277"
"public","digipal_graphcomponent","3103"
"public","digipal_graph_aspects","1491"
"public","digipal_text_textcontent","1420"
"public","digipal_cataloguenumber","1414"
"public","digipal_text_textcontentxml","972"
"public","digipal_dateevidence","874"
"public","digipal_currentitem","718"
"public","digipal_hand_images","715"
"public","digipal_historicalitem","713"
"public","digipal_itempart","712"
"public","digipal_itempartitem","712"
"public","digipal_text","712"
"public","digipal_textitempart","711"
"public","digipal_description","703"
"public","digipal_hand","696"
"public","digipal_placeevidence","694"
"public","generic_assignedkeyword","623"
"public","django_session","604"
"public","digipal_date","594"
"public","auth_permission","344"
"public","digipal_allograph_aspects","337"
"public","auth_user_user_permissions","318"
"public","digipal_historicalitem_owners","257"
"public","digipal_owner","257"
"public","auth_group_permissions","247"
"public","south_migrationhistory","180"
"public","digipal_idiograph","144"
"public","django_content_type","114"
"public","digipal_character","103"
"public","digipal_allograph","102"
"public","digipal_allographcomponent","81"
"public","digipal_component_features","76"
"public","digipal_allographcomponent_features","69"
"public","blog_blogpost_categories","67"
"public","digipal_place","64"
"public","blog_blogpost","61"
"public","digipal_feature","54"
"public","django_migrations","49"
"public","conf_setting","44"
"public","digipal_source","40"
"public","digipal_ontograph","38"
"public","digipal_character_components","27"
"public","pages_page","27"
"public","digipal_format","20"
"public","pages_richtextpage","20"
"public","auth_user_groups","17"
"public","digipal_aspect","17"
"public","digipal_layout","16"
"public","auth_user","15"
"public","digipal_component","15"
"public","generic_keyword","15"
"public","digipal_historicalitemtype","14"
"public","digipal_repository","9"
"public","manuscripts_repository","9"
"public","core_sitepermission","8"
"public","core_sitepermission_sites","8"
"public","digipal_carouselitem","8"
"public","pages_link","7"
"public","digipal_handdescription","5"
"public","digipal_ontographtype","5"
"public","digipal_imageannotationstatus","4"
"public","digipal_ownertype","4"
"public","digipal_text_textcontentxmlstatus","4"
"public","blog_blogcategory","3"
"public","digipal_characterform","3"
"public","auth_group","2"
"public","digipal_apitransform","2"
"public","digipal_keyval","2"
"public","digipal_language","2"
"public","digipal_mediapermission","2"
"public","digipal_scribe","2"
"public","digipal_text_textcontenttype","2"
"public","digipal_aspect_features","1"
"public","digipal_authenticitycategory","1"
"public","digipal_reference","1"
"public","django_site","1"
"public","blog_blogpost_related_posts","0"
"public","digipal_alphabet","0"
"public","digipal_alphabet_hands","0"
"public","digipal_alphabet_ontographs","0"
"public","digipal_appearance","0"
"public","digipal_archive","0"
"public","digipal_category","0"
"public","digipal_collation","0"
"public","digipal_contentattribution","0"
"public","digipal_county","0"
"public","digipal_currentitem_owners","0"
"public","digipal_decoration","0"
"public","digipal_hair","0"
"public","digipal_historicalitem_categories","0"
"public","digipal_historicalitemdate","0"
"public","digipal_idiograph_aspects","0"
"public","digipal_idiographcomponent","0"
"public","digipal_idiographcomponent_features","0"
"public","digipal_institution","0"
"public","digipal_institutiontype","0"
"public","digipal_itemorigin","0"
"public","digipal_itempart_owners","0"
"public","digipal_itempartauthenticity","0"
"public","digipal_itemparttype","0"
"public","digipal_latinstyle","0"
"public","digipal_measurement","0"
"public","digipal_person","0"
"public","digipal_placetype","0"
"public","digipal_proportion","0"
"public","digipal_region","0"
"public","digipal_scribe_reference","0"
"public","digipal_script","0"
"public","digipal_script_allographs","0"
"public","digipal_scriptcomponent","0"
"public","digipal_scriptcomponent_features","0"
"public","digipal_status","0"
"public","digipal_stewartrecord","0"
"public","digipal_text_categories","0"
"public","digipal_text_entryhand","0"
"public","digipal_text_languages","0"
"public","digipal_text_textcontent_languages","0"
"public","digipal_text_textcontentxmlcopy","0"
"public","digipal_text_textpattern","0"
"public","django_comment_flags","0"
"public","django_comments","0"
"public","django_redirect","0"
"public","forms_field","0"
"public","forms_fieldentry","0"
"public","forms_form","0"
"public","forms_formentry","0"
"public","galleries_gallery","0"
"public","galleries_galleryimage","0"
"public","generic_rating","0"
"public","generic_threadedcomment","0"
"public","twitter_query","0"
"public","twitter_tweet","0"
