"schema_name","table_name"
"public","auth_group"
"public","auth_group_permissions"
"public","auth_permission"
"public","auth_user"
"public","auth_user_groups"
"public","auth_user_user_permissions"
"public","blog_blogcategory"
"public","blog_blogpost"
"public","blog_blogpost_categories"
"public","blog_blogpost_related_posts"
"public","conf_setting"
"public","core_sitepermission"
"public","core_sitepermission_sites"
"public","digipal_allograph"
"public","digipal_allograph_aspects"
"public","digipal_allographcomponent"
"public","digipal_allographcomponent_features"
"public","digipal_alphabet"
"public","digipal_alphabet_hands"
"public","digipal_alphabet_ontographs"
"public","digipal_annotation"
"public","digipal_apitransform"
"public","digipal_appearance"
"public","digipal_archive"
"public","digipal_aspect"
"public","digipal_aspect_features"
"public","digipal_authenticitycategory"
"public","digipal_carouselitem"
"public","digipal_cataloguenumber"
"public","digipal_category"
"public","digipal_character"
"public","digipal_character_components"
"public","digipal_characterform"
"public","digipal_collation"
"public","digipal_component"
"public","digipal_component_features"
"public","digipal_contentattribution"
"public","digipal_county"
"public","digipal_currentitem"
"public","digipal_currentitem_owners"
"public","digipal_date"
"public","digipal_dateevidence"
"public","digipal_decoration"
"public","digipal_description"
"public","digipal_feature"
"public","digipal_format"
"public","digipal_graph"
"public","digipal_graph_aspects"
"public","digipal_graphcomponent"
"public","digipal_graphcomponent_features"
"public","digipal_hair"
"public","digipal_hand"
"public","digipal_hand_images"
"public","digipal_handdescription"
"public","digipal_historicalitem"
"public","digipal_historicalitem_categories"
"public","digipal_historicalitem_owners"
"public","digipal_historicalitemdate"
"public","digipal_historicalitemtype"
"public","digipal_idiograph"
"public","digipal_idiograph_aspects"
"public","digipal_idiographcomponent"
"public","digipal_idiographcomponent_features"
"public","digipal_image"
"public","digipal_imageannotationstatus"
"public","digipal_institution"
"public","digipal_institutiontype"
"public","digipal_itemorigin"
"public","digipal_itempart"
"public","digipal_itempart_owners"
"public","digipal_itempartauthenticity"
"public","digipal_itempartitem"
"public","digipal_itemparttype"
"public","digipal_keyval"
"public","digipal_language"
"public","digipal_latinstyle"
"public","digipal_layout"
"public","digipal_measurement"
"public","digipal_mediapermission"
"public","digipal_ontograph"
"public","digipal_ontographtype"
"public","digipal_owner"
"public","digipal_ownertype"
"public","digipal_person"
"public","digipal_place"
"public","digipal_placeevidence"
"public","digipal_placetype"
"public","digipal_proportion"
"public","digipal_reference"
"public","digipal_region"
"public","digipal_repository"
"public","digipal_requestlog"
"public","digipal_scribe"
"public","digipal_scribe_reference"
"public","digipal_script"
"public","digipal_script_allographs"
"public","digipal_scriptcomponent"
"public","digipal_scriptcomponent_features"
"public","digipal_source"
"public","digipal_status"
"public","digipal_stewartrecord"
"public","digipal_text"
"public","digipal_text_categories"
"public","digipal_text_entryhand"
"public","digipal_text_languages"
"public","digipal_text_textannotation"
"public","digipal_text_textcontent"
"public","digipal_text_textcontent_languages"
"public","digipal_text_textcontenttype"
"public","digipal_text_textcontentxml"
"public","digipal_text_textcontentxmlcopy"
"public","digipal_text_textcontentxmlstatus"
"public","digipal_text_textpattern"
"public","digipal_textitempart"
"public","django_admin_log"
"public","django_comment_flags"
"public","django_comments"
"public","django_content_type"
"public","django_migrations"
"public","django_redirect"
"public","django_session"
"public","django_site"
"public","forms_field"
"public","forms_fieldentry"
"public","forms_form"
"public","forms_formentry"
"public","galleries_gallery"
"public","galleries_galleryimage"
"public","generic_assignedkeyword"
"public","generic_keyword"
"public","generic_rating"
"public","generic_threadedcomment"
"public","manuscripts_repository"
"public","pages_link"
"public","pages_page"
"public","pages_richtextpage"
"public","poms_charter_info"
"public","reversion_revision"
"public","reversion_version"
"public","south_migrationhistory"
"public","twitter_query"
"public","twitter_tweet"
